Date,Open,High,Low,Close,Adj Close,Volume
2005-02-22,170.587006,171.244995,168.875000,170.432007,97.063599,2139040
2005-02-23,170.432007,172.761993,169.395004,171.869995,97.882553,5166816
2005-02-24,171.869995,174.488007,170.149994,170.994995,97.384239,10806440
2005-02-25,172.100006,172.375000,169.145004,170.507996,97.106918,5070896
2005-02-28,172.375000,173.125000,167.500000,172.613007,98.305695,6402408
2005-03-01,172.625000,180.000000,168.875000,169.682007,96.636459,4958152
2005-03-02,171.875000,171.875000,170.199997,171.000000,97.387070,2658112
2005-03-03,171.250000,174.375000,170.500000,173.695007,98.921974,2891160
2005-03-04,174.250000,175.438004,172.750000,174.033005,99.114426,4017872
2005-03-07,174.375000,176.000000,174.250000,175.024994,99.679352,3658032
2005-03-08,175.500000,177.613007,174.419998,176.744995,100.658981,5027680
2005-03-09,176.125000,178.311996,174.382996,175.938004,100.199356,5422088
2005-03-10,176.250000,176.250000,173.783005,174.945007,99.633865,2302280
2005-03-11,175.750000,179.363007,175.625000,178.432007,101.619736,5205744
2005-03-14,178.500000,182.500000,177.500000,181.481995,103.356758,6534032
2005-03-15,181.375000,182.750000,178.750000,180.332993,102.702385,4146480
2005-03-16,180.000000,183.449997,180.000000,181.507996,103.371536,5473416
2005-03-17,181.000000,184.212006,180.000000,182.619995,104.004860,6805328
2005-03-18,182.375000,184.061996,178.125000,183.587006,104.555603,6123464
2005-03-21,183.770004,184.375000,180.574997,182.057007,103.684227,4354120
2005-03-22,181.850006,182.136993,180.011993,180.445007,102.766144,2684432
2005-03-23,180.000000,181.000000,176.669998,177.658005,101.178925,3439416
2005-03-24,178.750000,179.750000,172.207993,173.044998,98.551735,5954576
2005-03-28,173.875000,176.106995,173.000000,174.050003,99.124115,3699728
2005-03-29,174.375000,174.750000,170.274994,171.363007,97.593826,3053400
2005-03-30,171.386993,175.000000,170.000000,173.820007,98.993126,4115256
2005-03-31,175.561996,180.636993,174.658005,179.007996,101.947746,6914640
2005-04-01,179.125000,182.125000,176.750000,181.369995,103.292923,5562672
2005-04-04,181.500000,182.100006,177.912994,178.470001,101.641357,5257360
2005-04-05,178.625000,180.311996,177.011993,178.182007,101.477356,3367832
2005-04-06,178.375000,181.000000,178.375000,180.169998,102.609581,1953408
2005-04-07,180.125000,181.250000,177.750000,178.149994,101.459106,2483216
2005-04-08,178.837006,179.363007,173.757996,174.195007,99.206665,4052280
2005-04-11,174.625000,175.000000,170.011993,170.449997,97.073860,2822992
2005-04-12,174.875000,174.875000,170.625000,172.750000,98.383736,4112696
2005-04-13,174.250000,175.875000,173.195007,175.199997,99.779053,4638600
2005-04-15,174.375000,174.375000,164.375000,164.875000,93.898788,9862480
2005-04-18,162.500000,168.587006,161.375000,164.832993,93.874863,6024304
2005-04-19,166.250000,168.613007,147.261993,151.087006,86.046341,27235152
2005-04-20,150.000000,150.000000,136.662994,139.524994,79.461586,47498256
2005-04-21,140.625000,143.500000,138.750000,142.800003,81.326782,13252336
2005-04-22,145.000000,146.457993,142.533005,145.845001,83.060944,12958672
2005-04-25,145.600006,145.988007,143.500000,144.619995,82.363274,6880584
2005-04-26,144.625000,145.475006,141.761993,142.087006,80.920692,5539000
2005-04-27,142.636993,142.636993,138.875000,139.457993,79.423431,6537368
2005-04-28,139.386993,141.250000,137.145004,139.350006,79.361946,8728872
2005-04-29,141.100006,143.087006,139.632996,141.386993,80.522026,11065704
2005-05-02,143.750000,147.250000,139.761993,141.113007,80.365997,5129600
2005-05-03,141.250000,141.875000,138.169998,138.574997,78.920547,5503048
2005-05-04,138.311996,140.561996,138.311996,140.106995,79.793045,4792144
2005-05-05,143.744995,143.750000,140.695007,142.106995,80.932076,6495064
2005-05-06,142.500000,146.462006,141.520004,145.938004,83.113876,8188664
2005-05-09,146.250000,147.783005,145.783005,146.908005,83.666328,4739040
2005-05-10,147.250000,147.250000,143.283005,144.061996,82.045479,7075952
2005-05-11,143.500000,144.074997,142.244995,143.636993,81.803444,3213288
2005-05-12,144.875000,145.212006,142.895004,143.345001,81.637146,3608944
2005-05-13,143.625000,143.875000,142.520004,143.574997,81.768105,2388752
2005-05-16,143.125000,144.863007,142.783005,144.287994,82.174202,5775200
2005-05-17,145.136993,145.587006,143.050003,143.820007,81.907677,4666576
2005-05-18,144.250000,144.250000,140.375000,142.837006,81.347847,4588224
2005-05-19,144.182007,146.500000,144.149994,145.311996,82.757378,3659448
2005-05-20,145.625000,146.837006,143.399994,146.207993,83.267647,3265616
2005-05-23,146.250000,154.363007,146.250000,152.975006,87.121582,10362016
2005-05-24,155.587006,155.587006,150.658005,154.356995,87.908669,6128856
2005-05-25,153.712006,158.675003,151.875000,157.570007,89.738495,7894472
2005-05-26,157.250000,162.000000,156.395004,161.257996,91.838882,9782096
2005-05-27,160.375000,162.375000,156.908005,158.649994,90.353592,7363480
2005-05-30,158.649994,166.632996,158.000000,164.886993,93.905632,17893184
2005-05-31,165.000000,167.863007,163.195007,166.783005,94.985435,10365568
2005-06-01,166.250000,166.250000,162.195007,163.061996,92.866295,7530088
2005-06-02,163.500000,163.625000,158.136993,158.570007,90.308060,11076624
2005-06-03,158.570007,162.087006,157.632996,161.645004,92.059265,6548528
2005-06-06,161.875000,162.712006,158.787994,160.050003,91.150887,5792512
2005-06-07,161.100006,161.100006,158.632996,159.707993,90.956146,3698192
2005-06-08,160.000000,162.000000,159.511993,161.511993,91.983490,4832512
2005-06-09,161.750000,162.375000,158.919998,159.662994,90.930473,3598336
2005-06-10,160.000000,162.500000,157.636993,158.270004,90.137154,6642624
2005-06-13,159.375000,160.375000,157.524994,158.957993,90.528976,2590032
2005-06-14,159.625000,159.988007,157.524994,158.257996,90.130341,3452384
2005-06-15,158.720001,159.738007,158.287994,159.020004,90.564323,2791072
